Date,Q (m3/s)
1954-01-01,2530.0
1954-01-02,2530.0
1954-01-03,2490.0
1954-01-04,2490.0
1954-01-05,2450.0
1954-01-06,2450.0
1954-01-07,2410.0
1954-01-08,2410.0
1954-01-09,2410.0
1954-01-10,2410.0
1954-01-11,2410.0
1954-01-12,2410.0
1954-01-13,2410.0
1954-01-14,2410.0
1954-01-15,2330.0
1954-01-16,2330.0
1954-01-17,2330.0
1954-01-18,2330.0
1954-01-19,2330.0
1954-01-20,2260.0
1954-01-21,2260.0
1954-01-22,2260.0
1954-01-23,2260.0
1954-01-24,2260.0
1954-01-25,2260.0
1954-01-26,2260.0
1954-01-27,2260.0
1954-01-28,2260.0
1954-01-29,2260.0
1954-01-30,2260.0
1954-01-31,2220.0
1954-02-01,2220.0
1954-02-02,2220.0
1954-02-03,2180.0
1954-02-04,2180.0
1954-02-05,2180.0
1954-02-06,2110.0
1954-02-07,2070.0
1954-02-08,2030.0
1954-02-09,2000.0
1954-02-10,1970.0
1954-02-11,1930.0
1954-02-12,1900.0
1954-02-13,1830.0
1954-02-14,1800.0
1954-02-15,1800.0
1954-02-16,1800.0
1954-02-17,1800.0
1954-02-18,1800.0
1954-02-19,1800.0
1954-02-20,1800.0
1954-02-21,1800.0
1954-02-22,1800.0
1954-02-23,1800.0
1954-02-24,1800.0
1954-02-25,1800.0
1954-02-26,1800.0
1954-02-27,1800.0
1954-02-28,1830.0
1954-03-01,1830.0
1954-03-02,1830.0
1954-03-03,1830.0
1954-03-04,1830.0
1954-03-05,1830.0
1954-03-06,1860.0
1954-03-07,1860.0
1954-03-08,1900.0
1954-03-09,1930.0
1954-03-10,1970.0
1954-03-11,1970.0
1954-03-12,1970.0
1954-03-13,1970.0
1954-03-14,1970.0
1954-03-15,1970.0
1954-03-16,1970.0
1954-03-17,1970.0
1954-03-18,1970.0
1954-03-19,1970.0
1954-03-20,1970.0
1954-03-21,1970.0
1954-03-22,1970.0
1954-03-23,1970.0
1954-03-24,1930.0
1954-03-25,1900.0
1954-03-26,1830.0
1954-03-27,1800.0
1954-03-28,1770.0
1954-03-29,1740.0
1954-03-30,1740.0
1954-03-31,1680.0
1954-04-01,1680.0
1954-04-02,1640.0
1954-04-03,1640.0
1954-04-04,1610.0
1954-04-05,1610.0
1954-04-06,1610.0
1954-04-07,1580.0
1954-04-08,1560.0
1954-04-09,1560.0
1954-04-10,1530.0
1954-04-11,1530.0
1954-04-12,1500.0
1954-04-13,1500.0
1954-04-14,1500.0
1954-04-15,1470.0
1954-04-16,1470.0
1954-04-17,1470.0
1954-04-18,1470.0
1954-04-19,1440.0
1954-04-20,1420.0
1954-04-21,1420.0
1954-04-22,1420.0
1954-04-23,1390.0
1954-04-24,1390.0
1954-04-25,1390.0
1954-04-26,1390.0
1954-04-27,1390.0
1954-04-28,1390.0
1954-04-29,1390.0
1954-04-30,1390.0
1954-05-01,1390.0
1954-05-02,1390.0
1954-05-03,1420.0
1954-05-04,1440.0
1954-05-05,1440.0
1954-05-06,1440.0
1954-05-07,1440.0
1954-05-08,1440.0
1954-05-09,1440.0
1954-05-10,1440.0
1954-05-11,1440.0
1954-05-12,1440.0
1954-05-13,1440.0
1954-05-14,1440.0
1954-05-15,1440.0
1954-05-16,1440.0
1954-05-17,1440.0
1954-05-18,1470.0
