Date,Q (m3/s)
1935-01-01,2970.0
1935-01-02,2970.0
1935-01-03,2940.0
1935-01-04,2920.0
1935-01-05,2910.0
1935-01-06,2890.0
1935-01-07,2890.0
1935-01-08,2890.0
1935-01-09,2860.0
1935-01-10,2860.0
1935-01-11,2830.0
1935-01-12,2830.0
1935-01-13,2820.0
1935-01-14,2810.0
1935-01-15,2800.0
1935-01-16,2800.0
1935-01-17,2780.0
1935-01-18,2770.0
1935-01-19,2760.0
1935-01-20,2740.0
1935-01-21,2710.0
1935-01-22,2700.0
1935-01-23,2680.0
1935-01-24,2670.0
1935-01-25,2650.0
1935-01-26,2640.0
1935-01-27,2630.0
1935-01-28,2620.0
1935-01-29,2610.0
1935-01-30,2600.0
1935-01-31,2580.0
1935-02-01,2570.0
1935-02-02,2560.0
1935-02-03,2540.0
1935-02-04,2530.0
1935-02-05,2520.0
1935-02-06,2500.0
1935-02-07,2490.0
1935-02-08,2480.0
1935-02-09,2480.0
1935-02-10,2470.0
1935-02-11,2460.0
1935-02-12,2450.0
1935-02-13,2440.0
1935-02-14,2430.0
1935-02-15,2430.0
1935-02-16,2430.0
1935-02-17,2440.0
1935-02-18,2450.0
1935-02-19,2450.0
1935-02-20,2440.0
1935-02-21,2440.0
1935-02-22,2430.0
1935-02-23,2420.0
1935-02-24,2420.0
1935-02-25,2420.0
1935-02-26,2420.0
1935-02-27,2410.0
1935-02-28,2390.0
1935-03-01,2390.0
1935-03-02,2380.0
1935-03-03,2370.0
1935-03-04,2370.0
1935-03-05,2370.0
1935-03-06,2360.0
1935-03-07,2360.0
1935-03-08,2340.0
1935-03-09,2320.0
1935-03-10,2300.0
1935-03-11,2280.0
1935-03-12,2260.0
1935-03-13,2240.0
1935-03-14,2230.0
1935-03-15,2220.0
1935-03-16,2200.0
1935-03-17,2180.0
1935-03-18,2160.0
1935-03-19,2160.0
1935-03-20,2150.0
1935-03-21,2140.0
1935-03-22,2130.0
1935-03-23,2130.0
1935-03-24,2120.0
1935-03-25,2130.0
1935-03-26,2130.0
1935-03-27,2130.0
1935-03-28,2140.0
1935-03-29,2130.0
1935-03-30,2130.0
1935-03-31,2130.0
1935-04-01,2130.0
1935-04-02,2110.0
1935-04-03,2100.0
1935-04-04,2090.0
1935-04-05,2090.0
1935-04-06,2080.0
1935-04-07,2070.0
1935-04-08,2050.0
1935-04-09,2040.0
1935-04-10,2010.0
1935-04-11,2000.0
1935-04-12,1990.0
1935-04-13,1950.0
1935-04-14,1910.0
1935-04-15,1870.0
1935-04-16,1830.0
1935-04-17,1790.0
1935-04-18,1780.0
1935-04-19,1770.0
1935-04-20,1760.0
1935-04-21,1750.0
1935-04-22,1750.0
1935-04-23,1730.0
1935-04-24,1730.0
1935-04-25,1740.0
1935-04-26,1720.0
1935-04-27,1710.0
1935-04-28,1710.0
1935-04-29,1710.0
1935-04-30,1700.0
1935-05-01,1680.0
1935-05-02,1610.0
1935-05-03,1600.0
1935-05-04,1600.0
1935-05-05,1600.0
1935-05-06,1550.0
1935-05-07,1550.0
1935-05-08,1550.0
1935-05-09,1550.0
1935-05-10,1550.0
1935-05-11,1560.0
1935-05-12,1560.0
1935-05-13,1580.0
1935-05-14,1610.0
1935-05-15,1640.0
1935-05-16,1620.0
1935-05-17,1620.0
1935-05-18,1670.0
